no_inicial,no_final,custo,endereco
0,1,131.91,Rua Roberto de Barros 176 – 286
0,19,78.97,Rua Silva Jardim 64 – 150
1,2,84.41,Rua Benjamin Constant 614 – 640
1,6,195.96,Rua Jarbas de Lery Santos 1619 – 1759
2,0,164.02,Av. Barao do Rio Branco 1579 / Rua Silva Jardim 97
2,3,849.24,Av. Barao do Rio Branco 1628 – 2412
3,4,149.85,Rua Fernando Lobo 40 – 116
4,8,658.14,Rua Santo Antonio 1135 / Rua Floriano Peixoto 442
5,2,130.83,Av. Barao do Rio Branco 1739 – 1579
6,5,72.93,Av. Getulio Vargas 901 – 1001
6,7,196.22,Av. Getulio Vargas 895 – 764
7,9,114.46,Rua Floriano Peixoto 273 – 194
7,22,192.01,Av. Getulio Vargas 728 – 575
8,7,164.48,Rua Floriano Peixoto 442 – 337
9,10,75.17,Rua Floriano Peixoto 163 – 111
9,12,50.59,Rua Batista de Oliveira 284 – 312
10,11,108.36,Rua Floriano Peixoto 95 – 195
11,14,185.35,Av. Francisco Bernardino 225 – 405
12,22,109.79,Rua Batista de Oliveira 335 – 387
13,11,47.06,Av. Francisco Bernardino 155 – 185
13,12,210.67,Rua Fonseca Hermes 25 – 199
14,10,146.64,Rua Hipolito Caron 10 – 137
14,15,86.53,Rua Sao Sebastiao 329 – 368
14,16,145.58,Av. Francisco Bernardino 631 – 481
15,6,227.96,Rua Sao Sebastiao 409 – 592
15,9,170.94,Rua Batista de Oliveira 109 – 259
16,15,88.79,Rua Batista de Oliveira 25 – 68
16,17,158.51,Av. Francisco Bernardino 555 – 615
17,18,43.66,Rua Benjamin Constant 462 – 527
18,1,96.28,Rua Benjamin Constant 527 – 619
18,16,220.57,Rua Francisco Maia 165 – 10
19,20,141.50,Av. Francisco Bernardino 735 – 841
20,0,163.00,Rua Roberto de Barros 25 – 158
21,8,183.02,Av. Barao do Rio Branco 2143 – 1955
22,13,436.73,Rua Marechal Deodoro 268 / Rua Francisco Bernardino 135
22,21,304.63,Rua Marechal Deodoro 333 – 561
22,23,146.81,Av. Getulio Vargas 540 – 455
23,21,975.88,Av. Getulio Vargas 540 / Av. Rio Branco 2143
